name,causality,variability,unit,kind_hint,depth
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.V,4,1,m3,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.X_start[1],0,1,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.energyDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.g_n,4,0,m/s2,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.h_start,4,1,J/kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.m,4,4,kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.massDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.mb,4,4,kg/s,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.p_start,4,1,Pa,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.substanceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.traceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.use_HeatPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.use_T_start,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_1.use_TraceMassPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.Q_gen,4,0,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.T_start,4,0,K,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.U,4,4,J,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.Ub,4,4,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.V,4,1,m3,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.X_start[1],0,1,1,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.energyDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.g_n,4,0,m/s2,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.h_start,4,1,J/kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.m,4,4,kg,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.massDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.mb,4,4,kg/s,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.p_start,4,1,Pa,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.showName,0,1,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.substanceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.traceDynamics,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.use_HeatPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.use_T_start,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_2.use_TraceMassPort,4,0,,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.Q_gen,4,0,W,,5
simulator[1].datacenter[1].computeBlock[4].cabinet[1].coolingChannels_3.T_start,4,0,K,,5
